ANN_Topology,PSO_Params,MAE_Train,MAE_Test
"{'nodes': [8, 10, 5, 1], 'activations': ['sigmoid', 'relu', 'tanh', 'linear_activation']}","{'alpha': 0.5, 'beta': 2.0, 'gamma': 0.1, 'delta': 1, 'epsilon': 1.2, 'swarm_size': 50, 'max_iterations': 100}",13.51567695873571,13.29714176077752
"{'nodes': [8, 10, 5, 1], 'activations': ['sigmoid', 'relu', 'tanh', 'linear_activation']}","{'alpha': 0.5, 'beta': 0.5, 'gamma': 1.0, 'delta': 2, 'epsilon': 1.2, 'swarm_size': 50, 'max_iterations': 100}",10.14123846246852,9.914844553813163
"{'nodes': [8, 10, 5, 1], 'activations': ['sigmoid', 'relu', 'tanh', 'linear_activation']}","{'alpha': 0.5, 'beta': 0.5, 'gamma': 2.0, 'delta': 1, 'epsilon': 1.2, 'swarm_size': 50, 'max_iterations': 100}",11.66549398295598,11.62537135094586
"{'nodes': [8, 10, 5, 1], 'activations': ['sigmoid', 'relu', 'tanh', 'linear_activation']}","{'alpha': 0.1, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 2.0, 'swarm_size': 50, 'max_iterations': 100}",13.22341581780339,13.201631616381652
"{'nodes': [8, 10, 5, 1], 'activations': ['sigmoid', 'relu', 'tanh', 'linear_activation']}","{'alpha': 1.0, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 0.5, 'swarm_size': 50, 'max_iterations': 100}",8.959930956531558,9.14703971049099
"{'nodes': [8, 10, 5, 1], 'activations': ['sigmoid', 'relu', 'tanh', 'linear_activation']}","{'alpha': 2.0, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 2.0, 'swarm_size': 50, 'max_iterations': 100}",13.523730198738974,13.308007192881663
"{'nodes': [8, 10, 5, 1], 'activations': ['sigmoid', 'relu', 'tanh', 'linear_activation']}","{'alpha': 0.1, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 0.5, 'swarm_size': 50, 'max_iterations': 100}",32.19017524644934,31.06792521754206
"{'nodes': [8, 10, 5, 1], 'activations': ['sigmoid', 'relu', 'tanh', 'linear_activation']}","{'alpha': 0.5, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 1.2, 'swarm_size': 100, 'max_iterations': 200}",8.080642550489321,8.406782809361815
"{'nodes': [8, 10, 5, 1], 'activations': ['sigmoid', 'relu', 'tanh', 'linear_activation']}","{'alpha': 0.5, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 1.2, 'swarm_size': 20, 'max_iterations': 50}",13.152167293666741,13.037148650484275
"{'nodes': [8, 10, 5, 1], 'activations': ['sigmoid', 'relu', 'tanh', 'linear_activation']}","{'alpha': 0.5, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 1.2, 'swarm_size': 200, 'max_iterations': 500}",4.953754329046164,5.46408459824723
"{'nodes': [8, 10, 5, 1], 'activations': ['sigmoid', 'relu', 'tanh', 'linear_activation']}","{'alpha': 0.5, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 1.2, 'swarm_size': 20, 'max_iterations': 500}",10.56923489866509,10.712679715928102
"{'nodes': [8, 10, 5, 1], 'activations': ['sigmoid', 'relu', 'tanh', 'linear_activation']}","{'alpha': 0.5, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 1.2, 'swarm_size': 100, 'max_iterations': 50}",10.205010625922519,10.382465638322882
"{'nodes': [8, 10, 5, 1], 'activations': ['sigmoid', 'relu', 'tanh', 'linear_activation']}","{'alpha': 0.5, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 2, 'swarm_size': 200, 'max_iterations': 500}",12.765899956409417,12.600147329668083
"{'nodes': [8, 10, 5, 1], 'activations': ['sigmoid', 'relu', 'tanh', 'linear_activation']}","{'alpha': 0.5, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 0.5, 'swarm_size': 200, 'max_iterations': 500}",18.172496303300054,17.387664599698315
"{'nodes': [8, 10, 5, 1], 'activations': ['sigmoid', 'relu', 'tanh', 'linear_activation']}","{'alpha': 2, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 0.5, 'swarm_size': 200, 'max_iterations': 500}",11.991850019634406,12.677169823907104
"{'nodes': [8, 10, 5, 1], 'activations': ['sigmoid', 'relu', 'tanh', 'linear_activation']}","{'alpha': 0.5, 'beta': 2.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 0.5, 'swarm_size': 200, 'max_iterations': 500}",18.39832214126069,17.589602593135233
