ANN_Topology,PSO_Params,MAE_Train,MAE_Test
"{'nodes': [8, 10, 5, 1], 'activations': ['sigmoid', 'relu', 'tanh', 'linear_activation']}","{'alpha': 0.5, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 1.2, 'swarm_size': 200, 'max_iterations': 500}",4.874201932987656,5.237974577245789
"{'nodes': [8, 5, 3, 1], 'activations': ['tanh', 'tanh', 'relu', 'linear_activation']}","{'alpha': 0.5, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 1.2, 'swarm_size': 200, 'max_iterations': 500}",4.484852617865832,4.678498469943088
"{'nodes': [8, 6, 4, 1], 'activations': ['relu', 'tanh', 'tanh', 'linear_activation']}","{'alpha': 0.5, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 1.2, 'swarm_size': 200, 'max_iterations': 500}",4.226154037987518,4.613974388612323
"{'nodes': [8, 10, 5, 1], 'activations': ['sigmoid', 'relu', 'tanh', 'linear_activation']}","{'alpha': 0.5, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 1.2, 'swarm_size': 200, 'max_iterations': 500}",4.709917163102891,4.876741174130525
"{'nodes': [8, 3, 2, 1], 'activations': ['relu', 'relu', 'sigmoid', 'linear_activation']}","{'alpha': 0.5, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 1.2, 'swarm_size': 200, 'max_iterations': 500}",4.464400302978119,4.771425206797861
"{'nodes': [8, 7, 5, 1], 'activations': ['tanh', 'sigmoid', 'relu', 'linear_activation']}","{'alpha': 0.5, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 1.2, 'swarm_size': 200, 'max_iterations': 500}",4.552420626777,4.727155998665841
"{'nodes': [8, 4, 4, 1], 'activations': ['relu', 'sigmoid', 'sigmoid', 'linear_activation']}","{'alpha': 0.5, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 1.2, 'swarm_size': 200, 'max_iterations': 500}",4.278292212744129,4.723092158011351
"{'nodes': [8, 6, 2, 1], 'activations': ['tanh', 'relu', 'tanh', 'linear_activation']}","{'alpha': 0.5, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 1.2, 'swarm_size': 200, 'max_iterations': 500}",4.159713259519986,4.7745031727782195
"{'nodes': [8, 5, 3, 1], 'activations': ['sigmoid', 'sigmoid', 'relu', 'linear_activation']}","{'alpha': 0.5, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 1.2, 'swarm_size': 200, 'max_iterations': 500}",4.897595511779467,5.103089505688155
"{'nodes': [8, 8, 4, 1], 'activations': ['relu', 'tanh', 'sigmoid', 'linear_activation']}","{'alpha': 0.5, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 1.2, 'swarm_size': 200, 'max_iterations': 500}",4.330839540536663,4.821142269946605
"{'nodes': [8, 9, 6, 1], 'activations': ['tanh', 'relu', 'sigmoid', 'linear_activation']}","{'alpha': 0.5, 'beta': 1.0, 'gamma': 1.0, 'delta': 1, 'epsilon': 1.2, 'swarm_size': 200, 'max_iterations': 500}",4.017125608891779,4.553205135037814
